article_date;ticker;total_weighted_sentiment;article_count;daily_sentiment
2024-07-15;BA;-0.677222;5;-0.1354444
2024-07-26;NVDA;2.6813659999999997;19;0.14112452631578945
2024-01-03;GOOG;0.9924640000000001;11;0.09022400000000001
2024-02-03;NVDA;3.1600080000000004;21;0.15047657142857146
2024-12-12;TSLA;1.125449;13;0.086573
2024-02-03;GOOG;2.02241;9;0.2247122222222222
2024-05-14;AAPL;1.399655;8;0.174956875
2024-08-20;TSLA;0.630307;11;0.05730063636363636
2024-09-16;AAPL;-1.6268030000000002;11;-0.14789118181818184
2024-03-31;AAPL;0.24441400000000008;13;0.018801076923076927
2024-04-09;NVDA;-0.8257990000000001;19;-0.0434631052631579
2024-09-28;GOOG;0.5079999999999999;7;0.07257142857142855
2024-11-03;GOOG;1.248063;9;0.13867366666666667
2024-02-13;AAPL;-0.817564;16;-0.05109775
2024-03-07;AAPL;-1.361508;18;-0.07563933333333334
2024-10-14;NVDA;1.573879;17;0.09258111764705883
2024-09-22;AAPL;1.073978;7;0.15342542857142857
2024-11-03;AAPL;0.9426569999999999;5;0.18853139999999996
2024-04-09;AAPL;-2.193629;16;-0.1371018125
2024-02-29;NVDA;4.459998;23;0.19391295652173912
2024-05-12;GOOG;0.57918;5;0.11583600000000001
2024-10-08;AAPL;0.464754;15;0.0309836
2024-09-05;BA;-0.27771999999999997;3;-0.09257333333333333
2024-11-06;GOOG;0.174742;4;0.0436855
2024-03-21;NVDA;3.17565;25;0.127026
2024-10-05;BA;-0.17075200000000001;1;-0.17075200000000001
2024-10-14;AAPL;0.7857310000000001;10;0.0785731
2024-06-17;NVDA;1.715836;28;0.06127985714285714
2024-02-18;AAPL;-0.010314000000000156;7;-0.0014734285714285938
2024-11-02;BA;-0.02042100000000001;2;-0.010210500000000004
2024-02-25;NVDA;2.2519910000000003;15;0.15013273333333335
2024-11-27;GOOG;0.896399;8;0.112049875
2024-04-02;AAPL;-1.5128419999999998;11;-0.13753109090909088
2024-07-21;BA;-0.157356;1;-0.157356
2024-09-28;BA;-0.6970000000000001;2;-0.34850000000000003
2024-09-25;AAPL;-0.3400869999999999;7;-0.04858385714285713
2024-01-31;NVDA;2.7103889999999997;23;0.11784299999999999
2024-07-01;NVDA;5.293664;27;0.1960616296296296
2024-05-13;NVDA;2.897357;15;0.19315713333333334
2024-10-22;BA;-0.816681;3;-0.272227
2024-04-17;GOOG;0.022061999999999915;12;0.001838499999999993
2024-12-22;AAPL;0.93809;4;0.2345225
2024-06-11;NVDA;3.831534999999999;27;0.14190870370370365
2024-06-21;AAPL;1.1007120000000001;14;0.07862228571428573
2024-09-15;NVDA;0.862808;10;0.0862808
2024-10-12;AAPL;-0.720032;3;-0.24001066666666668
2024-05-12;BA;-0.4116;1;-0.4116
2024-05-20;BA;0.04427699999999996;3;0.014758999999999987
2024-11-09;NVDA;0.9608219999999998;13;0.0739093846153846
2024-02-01;NVDA;1.900666;12;0.15838883333333334
2024-05-19;AAPL;-0.2659659999999999;9;-0.02955177777777777
2024-02-04;BA;-0.37430399999999997;2;-0.18715199999999999
2024-08-09;GOOG;-0.03589700000000007;11;-0.0032633636363636424
2024-05-16;BA;0.03245800000000007;4;0.008114500000000018
2024-04-15;NVDA;2.681626;18;0.14897922222222224
2024-03-04;AAPL;-0.07317300000000015;14;-0.005226642857142868
2024-01-03;AAPL;-0.962303;23;-0.04183926086956522
2024-05-06;GOOG;1.686703;10;0.1686703
2024-02-09;AAPL;0.509919;11;0.046356272727272725
2024-01-25;GOOG;1.3952870000000002;10;0.1395287
2024-02-03;AAPL;0.36037300000000005;8;0.04504662500000001
2024-01-26;NVDA;0.7757509999999999;12;0.06464591666666665
2024-06-01;O;-0.026307;2;-0.0131535
2024-05-01;AAPL;-1.844753;9;-0.20497255555555557
2024-05-18;AAPL;0.901819;6;0.15030316666666668
2024-09-03;NVDA;0.676645;40;0.016916125
2024-04-03;AAPL;0.7309919999999999;9;0.08122133333333331
2024-03-15;TSLA;-1.1093369999999998;26;-0.042666807692307684
2024-01-01;GOOG;0.481741;5;0.0963482
2024-03-24;GOOG;0.853933;6;0.14232216666666667
2024-01-08;BA;-3.7234000000000003;9;-0.41371111111111114
2024-05-15;BA;-1.177772;2;-0.588886
2024-07-18;BA;-0.460429;3;-0.15347633333333333
2024-08-27;BA;0.626313;4;0.15657825
2024-04-06;NVDA;1.8379389999999998;16;0.11487118749999999
2024-05-04;AAPL;-0.4994039999999999;8;-0.06242549999999999
2024-10-21;BA;0.96944;5;0.193888
2024-04-15;AAPL;0.23919299999999985;12;0.01993274999999999
2024-01-16;GOOG;0.5243739999999999;8;0.06554674999999999
2024-02-29;AAPL;-0.9334979999999999;5;-0.1866996
2024-05-16;NVDA;2.4864129999999998;18;0.13813405555555555
2024-06-05;NVDA;7.845389;35;0.22415397142857144
2024-11-22;GOOG;-1.2395239999999998;11;-0.11268399999999999
2024-05-24;AAPL;0.15130700000000002;8;0.018913375000000003
2024-11-26;NVDA;3.4157520000000003;20;0.1707876
2024-12-06;AAPL;-0.010111999999999996;7;-0.001444571428571428
2024-03-24;NVDA;0.8585980000000002;13;0.06604600000000002
2024-05-10;GOOG;0.841809;13;0.06475453846153846
2024-02-05;BA;-1.037019;3;-0.34567299999999995
2024-02-22;GOOG;-0.3293399999999999;17;-0.019372941176470582
2024-01-08;TSLA;0.41613199999999995;11;0.03783018181818181
2024-03-27;NVDA;3.4539400000000002;24;0.14391416666666668
2024-01-12;NVDA;0.45315;7;0.06473571428571429
2024-05-27;AAPL;-0.06934900000000005;7;-0.009907000000000008
2024-07-24;AAPL;-0.3909679999999999;8;-0.04887099999999999
2024-03-28;NVDA;2.69739;19;0.1419678947368421
2024-02-15;BA;-0.441198;2;-0.220599
2024-10-28;TSLA;0.14238099999999998;20;0.007119049999999999
2024-06-23;NVDA;3.2399479999999996;25;0.12959791999999998
2024-02-07;AAPL;1.900202;19;0.10001063157894736
2024-04-13;AAPL;0.057156000000000005;4;0.014289000000000001
2024-01-27;NVDA;1.201783;10;0.1201783
2024-06-21;BA;-0.817037;3;-0.27234566666666665
2024-08-09;NVDA;0.47562900000000014;15;0.03170860000000001
2024-09-24;BA;-1.8730839999999997;7;-0.2675834285714285
2024-02-28;TSLA;0.24979800000000008;15;0.016653200000000003
2024-07-06;NVDA;0.4885630000000001;9;0.054284777777777786
2024-04-05;GOOG;0.941667;10;0.0941667
2024-01-21;AAPL;0.667609;8;0.083451125
2024-04-05;TSLA;-3.2510369999999997;21;-0.1548112857142857
2024-08-10;BA;-0.637608;1;-0.637608
2024-04-20;AAPL;0.937408;6;0.15623466666666666
2024-09-20;NVDA;2.619219;20;0.13096095000000002
2024-05-10;AAPL;1.067223;11;0.09702027272727273
